eventName,userAgent,sourceIPAddress,eventSource,additionalEventData,errorMessage,errorCode,readOnly,type,accountId,userName,invokedBy,sessionContext.sessionIssuer.userName,Label
CreateTopic,aws-cli/1.15.45 Python/2.7.12 Linux/4.4.0-66-generic botocore/1.10.45,251.46.250.216,sns.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: SNS:CreateTopic on resource: arn:aws:sns:us-west-2:811596193553:SEC545CloudWatch,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
CreateTrail,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,cloudtrail.amazonaws.com,,Rate exceeded,ThrottlingException,0,AssumedRole,8.11596E+11,Level6,cloudtrail.amazonaws.com,AWSServiceRoleForCloudTrail,Malicious
CreateUser,aws-cli/1.15.4 Python/2.7.10 Darwin/18.0.0 botocore/1.10.4,111.9.248.2,iam.amazonaws.com,,User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateUser on resource: arn:aws:iam::811596193553:user/bugteeth,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
CreateVolume,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,251.24.251.255,ec2.amazonaws.com,,The zone 'us-west-2' does not exist.,Client.InvalidZone.NotFound,,IAMUser,8.11596E+11,backup,,,Legit
CreateVpc,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,You are not authorized to perform this operation.,Client.UnauthorizedOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DeactivateMFADevice,Coral/Netty4,2.7.223.252,iam.amazonaws.com,,,,0,Root,8.11596E+11,flaws,,,Legit
DeleteAccessKey,console.amazonaws.com,2.7.223.252,iam.amazonaws.com,,,,,Root,8.11596E+11,flaws,,,Legit
DeleteBucket,[aws-cli/1.15.30 Python/2.7.9 Windows/8 botocore/1.10.30],241.39.218.8,s3.amazonaws.com,"{'SignatureVersion': 'SigV4', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'AuthenticationMethod': 'AuthHeader'}",Access Denied,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DeleteLoginProfile,console.amazonaws.com,2.7.223.252,iam.amazonaws.com,,,,,Root,8.11596E+11,flaws,,,Legit
DeleteUser,console.amazonaws.com,2.7.223.252,iam.amazonaws.com,,,,,Root,8.11596E+11,flaws,,,Legit
DeleteVirtualMFADevice,console.amazonaws.com,2.7.223.252,iam.amazonaws.com,,,,,Root,8.11596E+11,flaws,,,Legit
DescribeAccount,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,86.1.86.209,workspaces.amazonaws.com,,,AccessDeniedException,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeAccountAttributes,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,251.24.251.255,ec2.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: dms:DescribeAccountAttributes,AccessDenied,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeAccountLimits,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,autoscaling.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: autoscaling:DescribeAccountLimits,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeActivations,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.12.110,2.231.90.242,ssm.amazonaws.com,,,,1,IAMUser,8.11596E+11,Level6,,,Legit
DescribeAddresses,aws-cli/1.16.4 Python/2.7.15 Darwin/17.5.0 botocore/1.11.4,179.1.8.253,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeAdjustmentTypes,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,autoscaling.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: autoscaling:DescribeAdjustmentTypes,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeAggregateIdFormat,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeAlarmHistory,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,monitoring.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: cloudwatch:DescribeAlarmHistory on resource: arn:aws:cloudwatch:us-east-1:811596193553:alarm:*,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeAlarms,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,monitoring.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: cloudwatch:DescribeAlarms on resource: arn:aws:cloudwatch:us-east-1:811596193553:alarm:*,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeAlarmsForMetric,aws-cli/1.15.45 Python/2.7.12 Linux/4.4.0-66-generic botocore/1.10.45,251.46.250.216,monitoring.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: cloudwatch:DescribeAlarmsForMetric,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeApplicationVersions,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticbeanstalk.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeApplications,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticbeanstalk.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeAutoScalingGroups,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,autoscaling.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: autoscaling:DescribeAutoScalingGroups,AccessDenied,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeAutoScalingInstances,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,autoscaling.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: autoscaling:DescribeAutoScalingInstances,AccessDenied,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeAvailabilityZones,aws-cli/1.16.96 Python/3.6.7 Linux/4.15.0-45-generic botocore/1.12.86,250.252.11.11,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeBackups,Boto3/1.7.4 Python/3.6.7 Linux/4.15.0-47-generic Botocore/1.10.4,202.157.9.237,cloudhsm.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: cloudhsm:DescribeBackups,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeBudgetPerformanceHistory,Coral/Netty4,2.7.223.252,budgets.amazonaws.com,,,,,Root,8.11596E+11,flaws,,,Legit
DescribeBudgets,Coral/Netty4,2.7.223.252,budgets.amazonaws.com,,User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: budgets:ViewBudget on resource: arn:aws:budgets::811596193553:budget/*,AccessDenied,,Root,8.11596E+11,flaws,,,Malicious
DescribeBundleTasks,aws-cli/1.16.103 Python/2.7.12 Linux/4.4.0-142-generic botocore/1.12.93,251.253.208.77,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeCacheClusters,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,elasticache.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticache:DescribeCacheClusters,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeCacheEngineVersions,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticache.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticache:DescribeCacheEngineVersions,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeCacheParameterGroups,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,elasticache.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeCacheSecurityGroups,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,elasticache.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticache:DescribeCacheSecurityGroups,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeCacheSubnetGroups,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticache.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: elasticache:DescribeCacheSubnetGroups,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeCases,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,support.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: support:,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeCertificates,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,dms.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeClassicLinkInstances,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeClusterParameterGroups,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,redshift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: redshift:DescribeClusterParameterGroups on resource: *,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeClusterSecurityGroups,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,redshift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: redshift:DescribeClusterSecurityGroups on resource: *,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeClusterSnapshots,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,redshift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: redshift:DescribeClusterSnapshots on resource: arn:aws:redshift:us-east-1:811596193553:snapshot:*,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeClusters,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,redshift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: dax:DescribeClusters,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeComplianceByConfigRule,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,config.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: config:DescribeComplianceByConfigRule,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeComplianceByResource,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,config.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: config:DescribeComplianceByResource,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeComputeEnvironments,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,batch.amazonaws.com,,,AccessDeniedException,1,IAMUser,8.11596E+11,backup,,,Malicious
DescribeConfigRuleEvaluationStatus,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,config.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: config:DescribeConfigRuleEvaluationStatus,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeConfigRules,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,config.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: config:DescribeConfigRules,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeConfigurationOptions,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticbeanstalk.amazonaws.com,,An unknown error occurred,InvalidParameterValueException,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeConfigurationRecorderStatus,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,config.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: config:DescribeConfigurationRecorderStatus,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeConfigurationRecorders,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,config.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: config:DescribeConfigurationRecorders,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeConnections,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,directconnect.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: dms:DescribeConnections,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
DescribeConversionTasks,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,flaws,Malicious
DescribeCustomKeyStores,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,kms.amazonaws.com,,,,1,IAMUser,8.11596E+11,Level6,,,Legit
DescribeCustomerGateways,aws-cli/1.16.103 Python/2.7.12 Linux/4.4.0-142-generic botocore/1.12.93,251.253.208.77,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeDBClusterSnapshots,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,rds.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: rds:DescribeDBClusterSnapshots,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeDBClusters,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,rds.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: rds:DescribeDBClusters,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeDBEngineVersions,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:13.0) Gecko/207396 ElasticWolf/5.1.7,4.225.0.1,rds.amazonaws.com,,User: arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a is not authorized to perform: rds:DescribeDBEngineVersions,AccessDenied,,AssumedRole,8.11596E+11,,,flaws,Malicious
DescribeDBInstances,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,rds.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: rds:DescribeDBInstances,AccessDenied,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeDBParameterGroups,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,rds.amazonaws.com,,User: arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a is not authorized to perform: rds:DescribeDBParameterGroups,AccessDenied,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeDBSecurityGroups,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,rds.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: rds:DescribeDBSecurityGroups,AccessDenied,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeDBSnapshots,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,rds.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: rds:DescribeDBSnapshots,AccessDenied,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeDBSubnetGroups,Boto3/1.9.105 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 Botocore/1.12.105,155.251.168.5,rds.amazonaws.com,,User: arn:aws:sts::811596193553:assumed-role/flaws/i-aa2d3b42e5c6e801a is not authorized to perform: rds:DescribeDBSubnetGroups,AccessDenied,,IAMUser,8.11596E+11,Level6,,flaws,Malicious
DescribeDefaultParameters,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,dax.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: dax:DescribeDefaultParameters,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeDeliveryChannelStatus,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,config.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: config:DescribeDeliveryChannelStatus,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeDeliveryChannels,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,config.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: config:DescribeDeliveryChannels,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeDestinations,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,logs.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: logs:DescribeDestinations on resource: arn:aws:logs:us-east-1:811596193553:log-group::log-stream:,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeDhcpOptions,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeDirectConnectGatewayAssociations,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,directconnect.amazonaws.com,,Either Direct Connect Gateway ID or Associated Gateway ID or Association ID must be set,DirectConnectClientException,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeDirectories,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.12.110,2.231.90.242,ds.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeDomains,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,cloudsearch.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: cloudsearch:DescribeDomains on resource: arn:aws:cloudsearch:us-east-1:811596193553:domain/*,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeEC2InstanceLimits,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,gamelift.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: gamelift:DescribeEC2InstanceLimits,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeEgressOnlyInternetGateways,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,"Request would have succeeded, but DryRun flag is set.",Client.DryRunOperation,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeElasticGpus,AWSPowerShell/3.3.365.0 .NET_Runtime/4.0 .NET_Framework/4.0 OS/Microsoft_Windows_NT_10.0.01985.0 WindowsPowerShell/5.0 ClientSync,84.252.252.117,ec2.amazonaws.com,,,,,IAMUser,8.11596E+11,backup,,,Legit
DescribeEndpoints,aws-cli/1.16.130 Python/2.7.15rc1 Linux/4.15.0-47-generic botocore/1.12.120,231.255.215.126,dms.amazonaws.com,,,,,IAMUser,8.11596E+11,Level6,,,Legit
DescribeEntityAggregates,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,health.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: health:DescribeEntityAggregates on resource: *,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeEnvironmentHealth,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticbeanstalk.amazonaws.com,,An unknown error occurred,AccessDeniedException,,IAMUser,8.11596E+11,backup,,,Malicious
DescribeEnvironmentManagedActionHistory,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,elasticbeanstalk.amazonaws.com,,An unknown error occurred,AccessDeniedException,,IAMUser,8.11596E+11,backup,,,Malicious
